procID,event_type,logical_clock,real_clock,msg,msg_receiver,msg_ts
,START,0,1688382497,2023-07-03 11:08:17,False
7,MSG,1,1688382497,REQUEST,1,0
7,MSG,2,1688382497,REQUEST,4,0
7,MSG,3,1688382497,REQUEST,7,0
7,MSG,4,1688382497,REQUEST,8,0
7,MSG,5,1688382497,REQUEST,9,0
7,CS_REQUESTED,6,1688382497,,,
4,MSG,7,1688382498,REQUEST,1,0
4,MSG,8,1688382498,REQUEST,4,0
4,MSG,9,1688382498,REQUEST,5,0
4,MSG,10,1688382498,REQUEST,6,0
4,MSG,11,1688382498,REQUEST,7,0
4,CS_REQUESTED,12,1688382498,,,
9,MSG,13,1688382498,REQUEST,3,0
9,MSG,14,1688382498,REQUEST,6,0
9,MSG,15,1688382498,REQUEST,7,0
9,MSG,16,1688382498,REQUEST,8,0
9,MSG,17,1688382498,REQUEST,9,0
9,CS_REQUESTED,18,1688382498,,,
8,MSG,19,1688382498,REQUEST,2,0
8,MSG,20,1688382498,REQUEST,5,0
8,MSG,21,1688382498,REQUEST,7,0
8,MSG,22,1688382498,REQUEST,8,0
8,MSG,23,1688382498,REQUEST,9,0
8,CS_REQUESTED,24,1688382498,,,
5,MSG,25,1688382498,REQUEST,2,0
5,MSG,26,1688382498,REQUEST,4,0
5,MSG,27,1688382498,REQUEST,5,0
5,MSG,28,1688382498,REQUEST,6,0
5,MSG,29,1688382498,REQUEST,8,0
5,CS_REQUESTED,30,1688382498,,,
2,MSG,31,1688382498,REQUEST,1,0
2,MSG,32,1688382498,REQUEST,2,0
2,MSG,33,1688382498,REQUEST,3,0
2,MSG,34,1688382498,REQUEST,5,0
2,MSG,35,1688382498,REQUEST,8,0
2,CS_REQUESTED,36,1688382498,,,
1,MSG,37,1688382498,REQUEST,1,0
1,MSG,38,1688382498,REQUEST,2,0
1,MSG,39,1688382498,REQUEST,3,0
1,MSG,40,1688382498,REQUEST,4,0
1,MSG,41,1688382498,REQUEST,7,0
1,CS_REQUESTED,42,1688382498,,,
6,MSG,43,1688382498,REQUEST,3,0
3,MSG,44,1688382498,REQUEST,1,0
3,MSG,45,1688382498,REQUEST,2,0
3,MSG,46,1688382498,REQUEST,3,0
3,MSG,47,1688382498,REQUEST,6,0
3,MSG,48,1688382498,REQUEST,9,0
3,CS_REQUESTED,49,1688382498,,,
6,MSG,50,1688382498,REQUEST,4,0
6,MSG,51,1688382498,REQUEST,5,0
6,MSG,52,1688382498,REQUEST,6,0
6,MSG,53,1688382498,REQUEST,9,0
6,CS_REQUESTED,54,1688382498,,,
7,MSG,55,1688382498,ACK,7,0
4,MSG,56,1688382499,ACK,7,0
9,MSG,57,1688382499,ACK,7,0
8,MSG,58,1688382499,ACK,7,0
5,MSG,59,1688382499,ACK,4,0
2,MSG,60,1688382499,ACK,8,0
1,MSG,61,1688382499,ACK,7,0
6,MSG,62,1688382499,ACK,4,0
3,MSG,63,1688382499,ACK,9,0
7,CS_ACCESS,64,1688382508,,,
7,MSG,65,1688382511,RELEASE,1,0
7,MSG,66,1688382511,RELEASE,4,0
7,MSG,67,1688382511,RELEASE,7,0
7,MSG,68,1688382511,RELEASE,8,0
7,MSG,69,1688382511,RELEASE,9,0
7,CS_LEAVE,70,1688382511,,,
4,MSG,71,1688382512,ACK,4,0
9,MSG,72,1688382512,ACK,9,0
8,MSG,73,1688382512,ACK,9,0
1,MSG,74,1688382512,ACK,4,0
7,MSG,75,1688382512,ACK,4,0
4,CS_ACCESS,76,1688382516,,,
4,MSG,77,1688382519,RELEASE,1,0
4,MSG,78,1688382519,RELEASE,4,0
4,MSG,79,1688382519,RELEASE,5,0
4,MSG,80,1688382519,RELEASE,6,0
4,MSG,81,1688382519,RELEASE,7,0
4,CS_LEAVE,82,1688382519,,,
5,MSG,83,1688382519,ACK,8,0
1,MSG,84,1688382519,ACK,2,0
6,MSG,85,1688382519,ACK,9,0
7,MSG,86,1688382519,ACK,9,0
4,MSG,87,1688382520,ACK,5,0
9,CS_ACCESS,88,1688382522,,,
9,MSG,89,1688382525,RELEASE,3,0
9,MSG,90,1688382525,RELEASE,6,0
9,MSG,91,1688382525,RELEASE,7,0
9,MSG,92,1688382525,RELEASE,8,0
9,MSG,93,1688382525,RELEASE,9,0
9,CS_LEAVE,94,1688382525,,,
8,MSG,95,1688382525,ACK,8,0
3,MSG,96,1688382525,ACK,2,0
6,MSG,97,1688382525,ACK,5,0
7,MSG,98,1688382525,ACK,8,0
9,MSG,99,1688382526,ACK,8,0
8,CS_ACCESS,100,1688382529,,,
8,MSG,101,1688382532,RELEASE,2,0
8,MSG,102,1688382532,RELEASE,5,0
8,MSG,103,1688382532,RELEASE,7,0
8,MSG,104,1688382532,RELEASE,8,0
8,MSG,105,1688382532,RELEASE,9,0
8,CS_LEAVE,106,1688382532,,,
5,MSG,107,1688382532,ACK,5,0
2,MSG,108,1688382532,ACK,5,0
7,MSG,109,1688382532,ACK,1,0
9,MSG,110,1688382533,ACK,3,0
8,MSG,111,1688382533,ACK,5,0
5,CS_ACCESS,112,1688382536,,,
5,MSG,113,1688382539,RELEASE,2,0
5,MSG,114,1688382539,RELEASE,4,0
5,MSG,115,1688382539,RELEASE,5,0
5,MSG,116,1688382539,RELEASE,6,0
5,MSG,117,1688382539,RELEASE,8,0
5,CS_LEAVE,118,1688382539,,,
2,MSG,119,1688382539,ACK,2,0
6,MSG,120,1688382539,ACK,3,0
4,MSG,121,1688382540,ACK,1,0
8,MSG,122,1688382540,ACK,2,0
5,MSG,123,1688382540,ACK,2,0
2,CS_ACCESS,124,1688382543,,,
2,MSG,125,1688382546,RELEASE,1,0
2,MSG,126,1688382546,RELEASE,2,0
2,MSG,127,1688382546,RELEASE,3,0
2,MSG,128,1688382546,RELEASE,5,0
2,MSG,129,1688382546,RELEASE,8,0
2,CS_LEAVE,130,1688382546,,,
1,MSG,131,1688382546,ACK,1,0
3,MSG,132,1688382546,ACK,1,0
5,MSG,133,1688382547,ACK,6,0
2,MSG,134,1688382547,ACK,1,0
1,CS_ACCESS,135,1688382550,,,
1,MSG,136,1688382553,RELEASE,1,0
1,MSG,137,1688382553,RELEASE,2,0
1,MSG,138,1688382553,RELEASE,3,0
1,MSG,139,1688382553,RELEASE,4,0
1,MSG,140,1688382553,RELEASE,7,0
1,CS_LEAVE,141,1688382553,,,
3,MSG,142,1688382553,ACK,6,0
4,MSG,143,1688382554,ACK,6,0
2,MSG,144,1688382554,ACK,3,0
1,MSG,145,1688382554,ACK,3,0
6,PROC_STOPPED,146,1688382617,,,
3,PROC_STOPPED,147,1688382617,,,
7,PROC_STOPPED,148,1688382617,,,
4,PROC_STOPPED,149,1688382618,,,
9,PROC_STOPPED,150,1688382618,,,
8,PROC_STOPPED,151,1688382618,,,
5,PROC_STOPPED,152,1688382618,,,
2,PROC_STOPPED,153,1688382618,,,
1,PROC_STOPPED,154,1688382618,,,
,END,155,1688382618,2023-07-03 11:10:18,False
