procID,event_type,logical_clock,real_clock,msg,msg_receiver,msg_ts
0,START,0,1688422107,,,
1,MSG,1,1688422108,REQUEST,2,2
1,MSG,2,1688422108,REQUEST,3,2
1,MSG,3,1688422108,REQUEST,4,2
1,MSG,4,1688422108,REQUEST,5,2
1,MSG,5,1688422108,REQUEST,6,2
1,MSG,6,1688422108,REQUEST,7,2
1,MSG,7,1688422108,REQUEST,8,2
1,MSG,8,1688422108,REQUEST,9,2
1,MSG,9,1688422108,REQUEST,10,2
1,MSG,10,1688422108,REQUEST,11,2
1,MSG,11,1688422108,REQUEST,12,2
1,MSG,12,1688422108,REQUEST,13,2
1,MSG,13,1688422108,REQUEST,14,2
1,MSG,14,1688422108,REQUEST,15,2
1,MSG,15,1688422108,REQUEST,16,2
1,MSG,16,1688422108,REQUEST,17,2
1,MSG,17,1688422108,REQUEST,18,2
1,MSG,18,1688422108,REQUEST,19,2
1,MSG,19,1688422108,REQUEST,20,2
1,MSG,20,1688422108,REQUEST,21,2
1,MSG,21,1688422108,REQUEST,22,2
1,MSG,22,1688422108,REQUEST,23,2
1,MSG,23,1688422108,REQUEST,24,2
1,MSG,24,1688422108,REQUEST,25,2
1,MSG,25,1688422108,REQUEST,26,2
1,MSG,26,1688422108,REQUEST,27,2
1,MSG,27,1688422108,REQUEST,28,2
1,MSG,28,1688422108,REQUEST,29,2
1,MSG,29,1688422108,REQUEST,30,2
1,MSG,30,1688422108,REQUEST,31,2
1,MSG,31,1688422108,REQUEST,32,2
1,MSG,32,1688422108,REQUEST,33,2
1,MSG,33,1688422108,REQUEST,34,2
1,MSG,34,1688422108,REQUEST,35,2
1,MSG,35,1688422108,REQUEST,36,2
1,CS_REQUESTED,36,1688422108,,,
4,MSG,37,1688422108,ACK,1,0
3,MSG,38,1688422108,ACK,1,0
30,MSG,39,1688422108,ACK,1,0
17,MSG,40,1688422108,ACK,1,0
12,MSG,41,1688422108,ACK,1,0
25,MSG,42,1688422108,ACK,1,0
16,MSG,43,1688422108,ACK,1,0
27,MSG,44,1688422108,ACK,1,0
36,MSG,45,1688422108,ACK,1,0
15,MSG,46,1688422108,ACK,1,0
14,MSG,47,1688422108,ACK,1,0
31,MSG,48,1688422108,ACK,1,0
21,MSG,49,1688422108,ACK,1,0
10,MSG,50,1688422108,ACK,1,0
23,MSG,51,1688422108,ACK,1,0
22,MSG,52,1688422108,ACK,1,0
29,MSG,53,1688422108,ACK,1,0
19,MSG,54,1688422108,ACK,1,0
35,MSG,55,1688422109,ACK,1,0
11,MSG,56,1688422109,ACK,1,0
33,MSG,57,1688422109,ACK,1,0
34,MSG,58,1688422109,ACK,1,0
5,MSG,59,1688422109,ACK,1,0
6,MSG,60,1688422109,ACK,1,0
18,MSG,61,1688422109,ACK,1,0
24,MSG,62,1688422109,ACK,1,0
8,MSG,63,1688422109,ACK,1,0
32,MSG,64,1688422109,ACK,1,0
13,MSG,65,1688422109,ACK,1,0
20,MSG,66,1688422109,ACK,1,0
2,MSG,67,1688422109,ACK,1,0
9,MSG,68,1688422109,ACK,1,0
28,MSG,69,1688422109,ACK,1,0
7,MSG,70,1688422109,ACK,1,0
26,MSG,71,1688422109,ACK,1,0
16,MSG,72,1688422111,REQUEST,1,3
16,MSG,73,1688422111,REQUEST,2,3
16,MSG,74,1688422111,REQUEST,3,3
16,MSG,75,1688422111,REQUEST,4,3
16,MSG,76,1688422111,REQUEST,5,3
16,MSG,77,1688422111,REQUEST,6,3
16,MSG,78,1688422111,REQUEST,7,3
16,MSG,79,1688422111,REQUEST,8,3
16,MSG,80,1688422111,REQUEST,9,3
16,MSG,81,1688422111,REQUEST,10,3
16,MSG,82,1688422111,REQUEST,11,3
16,MSG,83,1688422111,REQUEST,12,3
16,MSG,84,1688422111,REQUEST,13,3
16,MSG,85,1688422111,REQUEST,14,3
16,MSG,86,1688422111,REQUEST,15,3
16,MSG,87,1688422111,REQUEST,17,3
16,MSG,88,1688422111,REQUEST,18,3
16,MSG,89,1688422111,REQUEST,19,3
16,MSG,90,1688422111,REQUEST,20,3
16,MSG,91,1688422111,REQUEST,21,3
16,MSG,92,1688422111,REQUEST,22,3
16,MSG,93,1688422111,REQUEST,23,3
16,MSG,94,1688422111,REQUEST,24,3
16,MSG,95,1688422111,REQUEST,25,3
16,MSG,96,1688422111,REQUEST,26,3
16,MSG,97,1688422111,REQUEST,27,3
16,MSG,98,1688422111,REQUEST,28,3
16,MSG,99,1688422111,REQUEST,29,3
16,MSG,100,1688422111,REQUEST,30,3
16,MSG,101,1688422111,REQUEST,31,3
16,MSG,102,1688422111,REQUEST,32,3
16,MSG,103,1688422111,REQUEST,33,3
16,MSG,104,1688422111,REQUEST,34,3
16,MSG,105,1688422111,REQUEST,35,3
16,MSG,106,1688422111,REQUEST,36,3
16,CS_REQUESTED,107,1688422111,,,
27,MSG,108,1688422111,ACK,16,0
36,MSG,109,1688422111,ACK,16,0
14,MSG,110,1688422111,ACK,16,0
15,MSG,111,1688422111,ACK,16,0
31,MSG,112,1688422111,ACK,16,0
10,MSG,113,1688422111,ACK,16,0
21,MSG,114,1688422111,ACK,16,0
23,MSG,115,1688422111,ACK,16,0
22,MSG,116,1688422111,ACK,16,0
19,MSG,117,1688422111,ACK,16,0
29,MSG,118,1688422111,ACK,16,0
35,MSG,119,1688422112,ACK,16,0
11,MSG,120,1688422112,ACK,16,0
33,MSG,121,1688422112,ACK,16,0
34,MSG,122,1688422112,ACK,16,0
5,MSG,123,1688422112,ACK,16,0
6,MSG,124,1688422112,ACK,16,0
18,MSG,125,1688422112,ACK,16,0
24,MSG,126,1688422112,ACK,16,0
8,MSG,127,1688422112,ACK,16,0
13,MSG,128,1688422112,ACK,16,0
32,MSG,129,1688422112,ACK,16,0
20,MSG,130,1688422112,ACK,16,0
2,MSG,131,1688422112,ACK,16,0
9,MSG,132,1688422112,ACK,16,0
28,MSG,133,1688422112,ACK,16,0
7,MSG,134,1688422112,ACK,16,0
26,MSG,135,1688422112,ACK,16,0
4,MSG,136,1688422112,ACK,16,0
3,MSG,137,1688422112,ACK,16,0
30,MSG,138,1688422112,ACK,16,0
17,MSG,139,1688422112,ACK,16,0
12,MSG,140,1688422112,ACK,16,0
25,MSG,141,1688422112,ACK,16,0
18,MSG,142,1688422120,REQUEST,1,4
18,MSG,143,1688422120,REQUEST,2,4
18,MSG,144,1688422120,REQUEST,3,4
18,MSG,145,1688422120,REQUEST,4,4
18,MSG,146,1688422120,REQUEST,5,4
18,MSG,147,1688422120,REQUEST,6,4
18,MSG,148,1688422120,REQUEST,7,4
18,MSG,149,1688422120,REQUEST,8,4
18,MSG,150,1688422120,REQUEST,9,4
18,MSG,151,1688422120,REQUEST,10,4
18,MSG,152,1688422120,REQUEST,11,4
18,MSG,153,1688422120,REQUEST,12,4
18,MSG,154,1688422120,REQUEST,13,4
18,MSG,155,1688422120,REQUEST,14,4
18,MSG,156,1688422120,REQUEST,15,4
18,MSG,157,1688422120,REQUEST,16,4
18,MSG,158,1688422120,REQUEST,17,4
18,MSG,159,1688422120,REQUEST,19,4
18,MSG,160,1688422120,REQUEST,20,4
18,MSG,161,1688422120,REQUEST,21,4
18,MSG,162,1688422120,REQUEST,22,4
18,MSG,163,1688422120,REQUEST,23,4
18,MSG,164,1688422120,REQUEST,24,4
18,MSG,165,1688422120,REQUEST,25,4
18,MSG,166,1688422120,REQUEST,26,4
18,MSG,167,1688422120,REQUEST,27,4
18,MSG,168,1688422120,REQUEST,28,4
18,MSG,169,1688422120,REQUEST,29,4
18,MSG,170,1688422120,REQUEST,30,4
18,MSG,171,1688422120,REQUEST,31,4
18,MSG,172,1688422120,REQUEST,32,4
18,MSG,173,1688422120,REQUEST,33,4
18,MSG,174,1688422120,REQUEST,34,4
18,MSG,175,1688422120,REQUEST,35,4
18,MSG,176,1688422120,REQUEST,36,4
18,CS_REQUESTED,177,1688422120,,,
24,MSG,178,1688422120,ACK,18,0
8,MSG,179,1688422120,ACK,18,0
13,MSG,180,1688422120,ACK,18,0
32,MSG,181,1688422120,ACK,18,0
2,MSG,182,1688422120,ACK,18,0
20,MSG,183,1688422120,ACK,18,0
9,MSG,184,1688422120,ACK,18,0
28,MSG,185,1688422120,ACK,18,0
7,MSG,186,1688422120,ACK,18,0
26,MSG,187,1688422120,ACK,18,0
4,MSG,188,1688422120,ACK,18,0
3,MSG,189,1688422120,ACK,18,0
30,MSG,190,1688422120,ACK,18,0
17,MSG,191,1688422120,ACK,18,0
12,MSG,192,1688422120,ACK,18,0
25,MSG,193,1688422120,ACK,18,0
27,MSG,194,1688422120,ACK,18,0
36,MSG,195,1688422120,ACK,18,0
14,MSG,196,1688422120,ACK,18,0
15,MSG,197,1688422120,ACK,18,0
31,MSG,198,1688422120,ACK,18,0
10,MSG,199,1688422120,REQUEST,1,4
10,MSG,200,1688422120,REQUEST,2,4
10,MSG,201,1688422120,REQUEST,3,4
21,MSG,202,1688422120,ACK,18,0
23,MSG,203,1688422120,ACK,18,0
10,MSG,204,1688422120,REQUEST,4,4
10,MSG,205,1688422120,REQUEST,5,4
10,MSG,206,1688422120,REQUEST,6,4
10,MSG,207,1688422120,REQUEST,7,4
10,MSG,208,1688422120,REQUEST,8,4
10,MSG,209,1688422120,REQUEST,9,4
10,MSG,210,1688422120,REQUEST,11,4
10,MSG,211,1688422120,REQUEST,12,4
10,MSG,212,1688422120,REQUEST,13,4
10,MSG,213,1688422120,REQUEST,14,4
10,MSG,214,1688422120,REQUEST,15,4
10,MSG,215,1688422120,REQUEST,16,4
10,MSG,216,1688422120,REQUEST,17,4
10,MSG,217,1688422120,REQUEST,18,4
10,MSG,218,1688422120,REQUEST,19,4
10,MSG,219,1688422120,REQUEST,20,4
10,MSG,220,1688422120,REQUEST,21,4
10,MSG,221,1688422120,REQUEST,22,4
10,MSG,222,1688422120,REQUEST,23,4
10,MSG,223,1688422120,REQUEST,24,4
10,MSG,224,1688422120,REQUEST,25,4
10,MSG,225,1688422120,REQUEST,26,4
10,MSG,226,1688422120,REQUEST,27,4
10,MSG,227,1688422120,REQUEST,28,4
10,MSG,228,1688422120,REQUEST,29,4
10,MSG,229,1688422120,REQUEST,30,4
10,MSG,230,1688422120,REQUEST,31,4
10,MSG,231,1688422120,REQUEST,32,4
10,MSG,232,1688422120,REQUEST,33,4
10,MSG,233,1688422120,REQUEST,34,4
10,MSG,234,1688422120,REQUEST,35,4
10,MSG,235,1688422120,REQUEST,36,4
10,CS_REQUESTED,236,1688422120,,,
22,MSG,237,1688422120,ACK,18,0
19,MSG,238,1688422120,ACK,18,0
29,MSG,239,1688422120,ACK,18,0
11,MSG,240,1688422121,ACK,18,0
35,MSG,241,1688422121,ACK,18,0
33,MSG,242,1688422121,ACK,18,0
34,MSG,243,1688422121,ACK,18,0
5,MSG,244,1688422121,ACK,18,0
6,MSG,245,1688422121,ACK,18,0
24,MSG,246,1688422121,ACK,10,0
8,MSG,247,1688422121,ACK,10,0
32,MSG,248,1688422121,ACK,10,0
13,MSG,249,1688422121,ACK,10,0
2,MSG,250,1688422121,ACK,10,0
20,MSG,251,1688422121,ACK,10,0
9,MSG,252,1688422121,ACK,10,0
28,MSG,253,1688422121,ACK,10,0
7,MSG,254,1688422121,ACK,10,0
26,MSG,255,1688422121,ACK,10,0
4,MSG,256,1688422121,ACK,10,0
3,MSG,257,1688422121,ACK,10,0
30,MSG,258,1688422121,ACK,10,0
17,MSG,259,1688422121,ACK,10,0
12,MSG,260,1688422121,ACK,10,0
25,MSG,261,1688422121,ACK,10,0
27,MSG,262,1688422121,ACK,10,0
36,MSG,263,1688422121,ACK,10,0
14,MSG,264,1688422121,ACK,10,0
15,MSG,265,1688422121,ACK,10,0
31,MSG,266,1688422121,ACK,10,0
21,MSG,267,1688422121,ACK,10,0
23,MSG,268,1688422121,ACK,10,0
22,MSG,269,1688422121,ACK,10,0
19,MSG,270,1688422121,ACK,10,0
29,MSG,271,1688422121,ACK,10,0
35,MSG,272,1688422122,ACK,10,0
11,MSG,273,1688422122,ACK,10,0
33,MSG,274,1688422122,ACK,10,0
34,MSG,275,1688422122,ACK,10,0
5,MSG,276,1688422122,ACK,10,0
6,MSG,277,1688422122,ACK,10,0
3,MSG,278,1688422129,REQUEST,1,5
3,MSG,279,1688422129,REQUEST,2,5
3,MSG,280,1688422129,REQUEST,4,5
3,MSG,281,1688422129,REQUEST,5,5
3,MSG,282,1688422129,REQUEST,6,5
3,MSG,283,1688422129,REQUEST,7,5
3,MSG,284,1688422129,REQUEST,8,5
3,MSG,285,1688422129,REQUEST,9,5
3,MSG,286,1688422129,REQUEST,10,5
3,MSG,287,1688422129,REQUEST,11,5
3,MSG,288,1688422129,REQUEST,12,5
3,MSG,289,1688422129,REQUEST,13,5
3,MSG,290,1688422129,REQUEST,14,5
3,MSG,291,1688422129,REQUEST,15,5
3,MSG,292,1688422129,REQUEST,16,5
3,MSG,293,1688422129,REQUEST,17,5
3,MSG,294,1688422129,REQUEST,18,5
3,MSG,295,1688422129,REQUEST,19,5
3,MSG,296,1688422129,REQUEST,20,5
3,MSG,297,1688422129,REQUEST,21,5
