procID,event_type,logical_clock,real_clock,msg,msg_receiver,msg_ts
0,START,0,1688395554,,,
4,MSG,1,1688395554,REQUEST,2,0
4,MSG,2,1688395554,REQUEST,3,0
4,MSG,3,1688395554,REQUEST,4,0
4,CS_REQUESTED,4,1688395554,,,
3,MSG,5,1688395554,REQUEST,1,0
3,MSG,6,1688395554,REQUEST,3,0
3,MSG,7,1688395554,REQUEST,4,0
3,CS_REQUESTED,8,1688395554,,,
1,MSG,9,1688395555,REQUEST,1,0
2,MSG,10,1688395555,REQUEST,1,0
1,MSG,11,1688395555,REQUEST,2,0
1,MSG,12,1688395555,REQUEST,3,0
1,CS_REQUESTED,13,1688395555,,,
2,MSG,14,1688395555,REQUEST,2,0
2,MSG,15,1688395555,REQUEST,4,0
2,CS_REQUESTED,16,1688395555,,,
4,MSG,17,1688395555,ACK,4,0
3,MSG,18,1688395555,ACK,4,0
1,MSG,19,1688395556,ACK,3,0
2,MSG,20,1688395556,ACK,4,0
4,CS_ACCESS,21,1688395561,,,
4,MSG,22,1688395564,RELEASE,2,0
4,MSG,23,1688395564,RELEASE,3,0
4,MSG,24,1688395564,RELEASE,4,0
4,CS_LEAVE,25,1688395564,,,
3,MSG,26,1688395564,ACK,3,0
2,MSG,27,1688395565,ACK,1,0
4,MSG,28,1688395565,ACK,3,0
3,CS_ACCESS,29,1688395567,,,
3,MSG,30,1688395570,RELEASE,1,0
3,MSG,31,1688395570,RELEASE,3,0
3,MSG,32,1688395570,RELEASE,4,0
3,CS_LEAVE,33,1688395570,,,
1,MSG,34,1688395571,ACK,1,0
4,MSG,35,1688395571,ACK,2,0
3,MSG,36,1688395571,ACK,1,0
1,CS_ACCESS,37,1688395574,,,
1,MSG,38,1688395577,RELEASE,1,0
1,MSG,39,1688395577,RELEASE,2,0
1,MSG,40,1688395577,RELEASE,3,0
1,CS_LEAVE,41,1688395577,,,
2,MSG,42,1688395578,ACK,2,0
1,MSG,43,1688395578,ACK,2,0
2,CS_ACCESS,44,1688395581,,,
4,PROC_STOPPED,45,1688395581,,,
3,PROC_STOPPED,46,1688395581,,,
1,PROC_STOPPED,47,1688395582,,,
2,PROC_STOPPED,48,1688395582,,,
0,END,49,1688395582,,,
