procID,event_type,logical_clock,real_clock,msg,msg_receiver,msg_ts
0,START,0,1688424122,,,
3,MSG,1,1688424129,REQUEST,1,2
3,MSG,2,1688424129,REQUEST,2,2
3,MSG,3,1688424129,REQUEST,4,2
3,MSG,4,1688424129,REQUEST,5,2
3,MSG,5,1688424129,REQUEST,6,2
3,MSG,6,1688424129,REQUEST,7,2
3,MSG,7,1688424129,REQUEST,8,2
3,MSG,8,1688424129,REQUEST,9,2
3,CS_REQUESTED,9,1688424129,,,
9,MSG,10,1688424129,REQUEST,1,2
9,MSG,11,1688424129,REQUEST,2,2
9,MSG,12,1688424129,REQUEST,3,2
9,MSG,13,1688424129,REQUEST,4,2
9,MSG,14,1688424129,REQUEST,5,2
9,MSG,15,1688424129,REQUEST,6,2
9,MSG,16,1688424129,REQUEST,7,2
9,MSG,17,1688424129,REQUEST,8,2
9,CS_REQUESTED,18,1688424129,,,
9,MSG,19,1688424129,ACK,3,0
5,MSG,20,1688424130,ACK,3,0
2,MSG,21,1688424130,ACK,3,0
4,MSG,22,1688424130,ACK,3,0
7,MSG,23,1688424130,ACK,3,0
6,MSG,24,1688424130,ACK,3,0
8,MSG,25,1688424130,ACK,3,0
1,MSG,26,1688424130,ACK,3,0
5,MSG,27,1688424131,ACK,9,0
2,MSG,28,1688424131,ACK,9,0
4,MSG,29,1688424131,ACK,9,0
7,MSG,30,1688424131,ACK,9,0
6,MSG,31,1688424131,ACK,9,0
8,MSG,32,1688424131,ACK,9,0
1,MSG,33,1688424131,ACK,9,0
6,MSG,34,1688424134,REQUEST,1,3
6,MSG,35,1688424134,REQUEST,2,3
6,MSG,36,1688424134,REQUEST,3,3
6,MSG,37,1688424134,REQUEST,4,3
6,MSG,38,1688424134,REQUEST,5,3
6,MSG,39,1688424134,REQUEST,7,3
6,MSG,40,1688424134,REQUEST,8,3
6,MSG,41,1688424134,REQUEST,9,3
6,CS_REQUESTED,42,1688424134,,,
1,MSG,43,1688424134,ACK,6,0
5,MSG,44,1688424135,ACK,6,0
2,MSG,45,1688424135,ACK,6,0
4,MSG,46,1688424135,ACK,6,0
7,MSG,47,1688424135,ACK,6,0
8,MSG,48,1688424135,ACK,6,0
3,CS_ACCESS,49,1688424139,,,
3,MSG,50,1688424141,ACK,9,0
3,MSG,51,1688424141,ACK,6,0
3,CS_LEAVE,52,1688424141,,,
9,CS_ACCESS,53,1688424142,,,
9,MSG,54,1688424144,ACK,6,0
9,CS_LEAVE,55,1688424144,,,
6,CS_ACCESS,56,1688424146,,,
6,CS_LEAVE,57,1688424148,,,
7,MSG,58,1688424163,REQUEST,1,4
7,MSG,59,1688424163,REQUEST,2,4
7,MSG,60,1688424163,REQUEST,3,4
7,MSG,61,1688424163,REQUEST,4,4
7,MSG,62,1688424163,REQUEST,5,4
7,MSG,63,1688424163,REQUEST,6,4
7,MSG,64,1688424163,REQUEST,8,4
7,MSG,65,1688424163,REQUEST,9,4
7,CS_REQUESTED,66,1688424163,,,
8,MSG,67,1688424163,ACK,7,0
6,MSG,68,1688424163,ACK,7,0
1,MSG,69,1688424163,ACK,7,0
3,MSG,70,1688424163,ACK,7,0
9,MSG,71,1688424163,ACK,7,0
5,MSG,72,1688424164,ACK,7,0
2,MSG,73,1688424164,ACK,7,0
4,MSG,74,1688424164,ACK,7,0
7,CS_ACCESS,75,1688424172,,,
7,CS_LEAVE,76,1688424174,,,
7,MSG,77,1688424203,REQUEST,1,5
7,MSG,78,1688424203,REQUEST,2,5
7,MSG,79,1688424203,REQUEST,3,5
7,MSG,80,1688424203,REQUEST,4,5
7,MSG,81,1688424203,REQUEST,5,5
7,MSG,82,1688424203,REQUEST,6,5
7,MSG,83,1688424203,REQUEST,8,5
7,MSG,84,1688424203,REQUEST,9,5
7,CS_REQUESTED,85,1688424203,,,
8,MSG,86,1688424203,ACK,7,0
6,MSG,87,1688424203,ACK,7,0
1,MSG,88,1688424203,ACK,7,0
3,MSG,89,1688424203,ACK,7,0
9,MSG,90,1688424203,ACK,7,0
5,MSG,91,1688424204,ACK,7,0
2,MSG,92,1688424204,ACK,7,0
4,MSG,93,1688424204,ACK,7,0
1,MSG,94,1688424206,REQUEST,2,6
1,MSG,95,1688424206,REQUEST,3,6
1,MSG,96,1688424206,REQUEST,4,6
1,MSG,97,1688424206,REQUEST,5,6
1,MSG,98,1688424206,REQUEST,6,6
1,MSG,99,1688424206,REQUEST,7,6
1,MSG,100,1688424206,REQUEST,8,6
1,MSG,101,1688424206,REQUEST,9,6
1,CS_REQUESTED,102,1688424206,,,
3,MSG,103,1688424206,ACK,1,0
9,MSG,104,1688424206,ACK,1,0
5,MSG,105,1688424207,ACK,1,0
2,MSG,106,1688424207,ACK,1,0
4,MSG,107,1688424207,ACK,1,0
8,MSG,108,1688424207,ACK,1,0
6,MSG,109,1688424207,ACK,1,0
4,MSG,110,1688424208,REQUEST,1,7
4,MSG,111,1688424208,REQUEST,2,7
4,MSG,112,1688424208,REQUEST,3,7
4,MSG,113,1688424208,REQUEST,5,7
4,MSG,114,1688424208,REQUEST,6,7
4,MSG,115,1688424208,REQUEST,7,7
4,MSG,116,1688424208,REQUEST,8,7
4,MSG,117,1688424208,REQUEST,9,7
4,CS_REQUESTED,118,1688424208,,,
8,MSG,119,1688424208,ACK,4,0
6,MSG,120,1688424208,ACK,4,0
3,MSG,121,1688424208,ACK,4,0
9,MSG,122,1688424208,ACK,4,0
5,MSG,123,1688424209,ACK,4,0
2,MSG,124,1688424209,ACK,4,0
7,CS_ACCESS,125,1688424212,,,
7,MSG,126,1688424214,ACK,1,0
7,MSG,127,1688424214,ACK,4,0
7,CS_LEAVE,128,1688424214,,,
1,CS_ACCESS,129,1688424216,,,
2,MSG,130,1688424218,REQUEST,1,8
2,MSG,131,1688424218,REQUEST,3,8
2,MSG,132,1688424218,REQUEST,4,8
2,MSG,133,1688424218,REQUEST,5,8
2,MSG,134,1688424218,REQUEST,6,8
2,MSG,135,1688424218,REQUEST,7,8
2,MSG,136,1688424218,REQUEST,8,8
2,MSG,137,1688424218,REQUEST,9,8
2,CS_REQUESTED,138,1688424218,,,
7,MSG,139,1688424218,ACK,2,0
8,MSG,140,1688424218,ACK,2,0
6,MSG,141,1688424218,ACK,2,0
1,MSG,142,1688424218,ACK,4,0
3,MSG,143,1688424218,ACK,2,0
1,CS_LEAVE,144,1688424218,,,
1,MSG,145,1688424218,ACK,2,0
9,MSG,146,1688424219,ACK,2,0
5,MSG,147,1688424219,ACK,2,0
4,CS_ACCESS,148,1688424220,,,
4,MSG,149,1688424222,ACK,2,0
4,CS_LEAVE,150,1688424222,,,
2,CS_ACCESS,151,1688424227,,,
3,MSG,152,1688424227,REQUEST,1,9
3,MSG,153,1688424227,REQUEST,2,9
3,MSG,154,1688424227,REQUEST,4,9
3,MSG,155,1688424227,REQUEST,5,9
3,MSG,156,1688424227,REQUEST,6,9
3,MSG,157,1688424227,REQUEST,7,9
3,MSG,158,1688424227,REQUEST,8,9
3,MSG,159,1688424227,REQUEST,9,9
